,negative,positive
virginia,24,32
bryant,2,10
recurring,7,10
dreams,78,164
herself,171,240
wine,17,14
cellar,7,7
encountering,3,2
cocoon,1,1
ceiling,15,5
glows,3,5
covered,62,50
insect,5,7
legs,47,38
drips,2,2
green,96,99
creaks,4,0
middle,262,215
th,152,225
centaury,1,0
wolf,38,25
attached,36,24
attracted,24,30
scent,3,2
orchids,1,2
dialog,265,151
awkward,74,54
phrases,10,8
dubbing,53,26
bring,196,242
gore,366,142
skeletons,9,2
rotting,15,4
basement,43,29
pond,8,11
pool,39,44
fades,16,6
jeep,11,2
cherokee,1,0
copy,133,155
shriek,8,3
defective,1,0
flaw,35,34
corrected,5,5
extras,61,50
include,78,97
short,401,483
explains,53,46
along,372,484
trailers,32,20
releases,17,24
standard,127,95
throw,139,57
dog,188,207
bone,22,35
sooo,5,4
anyway,336,234
kol,5,0
ross,12,22
hagen,9,2
intergalactic,3,1
escapes,46,36
vaporised,1,0
zealous,2,3
spaceship,13,6
commander,20,20
jan,15,10
michael,247,430
vincent,15,40
manages,117,160
steal,63,60
shuttle,8,5
lands,24,20
earth,222,219
unstoppable,5,10
android,13,0
killer,471,287
sent,69,138
phillip,22,26
law,121,143
forest,63,39
park,107,95
ranger,15,8
urges,4,5
caution,12,14
dealing,45,79
visitors,10,8
costumes,90,115
lacking,83,47
sign,86,51
comical,45,38
dyana,1,0
ortelli,1,0
soles,4,12
dawn,31,36
wildsmith,1,0
dean,68,35
cain,16,13
produce,66,42
clark,37,54
aware,66,81
gonna,85,41
cheesey,4,0
special,545,517
scratch,20,16
call,296,184
spoil,49,59
helicopter,25,15
chicago,13,26
la,114,141
eastern,18,20
european,61,82
sheet,8,8
provides,35,120
occasions,12,20
slug,12,4
helipad,1,0
mess,263,49
hall,41,64
cares,77,54
timeline,2,1
cared,30,34
able,243,376
multiple,46,52
screens,23,17
dragon,61,36
walk,165,93
responsible,74,69
worst,1296,121
endings,23,29
history,265,406
scooby,28,19
doo,26,15
wanna,50,26
dinner,45,44
chinese,61,104
ah,35,24
ha,81,27
haha,11,4
aha,2,1
fade,22,16
blackmy,1,0
god,372,235
cringe,32,14
fear,123,149
building,77,104
exploded,9,2
untouched,3,4
unmanned,1,0
lab,42,27
survived,24,22
hurray,1,0
n,78,95
london,94,130
lowlifes,1,2
mute,21,6
kid,323,247
oracle,1,0
somehow,198,169
lives,267,466
ends,253,263
disaster,121,47
leaving,116,120
feeling,265,316
unsatisfied,8,8
annoyed,43,21
pointlessness,5,2
none,332,195
endear,2,5
dim,21,6
runner,20,21
emilio,7,3
heels,20,16
tricksy,1,0
elevate,10,8
cross,79,84
dressing,20,21
newfound,1,9
heights,18,24
forward,191,133
sharp,28,79
statement,54,42
touch,84,141
fragile,8,22
elegance,7,13
alternatively,2,1
perilous,3,7
foot,66,65
pain,96,111
inevitably,23,24
trips,5,8
falls,229,197
ultimate,44,88
tragedy,58,133
tacones,3,0
lejanos,3,0
disappointment,151,48
stylish,29,51
riser,2,0
almod,2,0
var,2,0
terms,88,128
tongue,33,45
tied,45,38
tedious,87,19
affair,79,94
complex,49,159
fully,76,134
engage,32,16
interesting,831,735
marvellously,1,4
macabre,10,21
manslaughter,1,2
orchestrated,5,4
brilliant,138,446
heel,4,7
solid,67,183
arty,21,3
otherwise,197,139
spanish,59,83
cinema,292,470
murder,202,304
showbiz,2,5
femininity,4,6
fractured,4,3
relationship,168,338
alternately,5,6
transvestite,5,11
police,267,300
informer,4,13
powerhouse,1,8
stumbles,11,16
friend,309,431
mine,62,70
feds,3,3
non,274,206
recall,49,69
brought,121,229
written,403,414
involved,302,248
deserve,94,46
wide,55,75
omaha,3,3
california,35,73
embarrassed,64,14
involvement,30,24
maker,47,32
learning,34,47
tool,16,14
wish,227,242
luck,62,75
future,161,289
improve,32,21
material,191,158
hinton,1,0
copola,1,1
adapting,11,5
trueblood,2,0
product,55,52
results,60,83
department,44,56
mediocrity,13,5
jeff,60,90
fahey,4,5
ray,75,105
rumbler,1,0
description,40,46
mid,79,82
greaser,1,0
threads,10,4
effeminate,8,7
selection,17,23
gang,123,103
garb,4,3
fought,17,16
lousy,88,10
lone,25,17
caretaker,11,13
younger,108,146
brother,248,311
donny,2,2
chad,9,3
lowe,23,13
inexplicably,21,6
station,80,89
cops,78,69
nabbed,2,3
serve,34,50
marines,8,13
flash,49,28
present,106,198
gangs,13,10
adversary,3,6
scores,18,23
violently,12,8
settled,11,20
dodged,2,1
honor,36,53
defended,8,8
carry,82,80
normal,97,127
pace,126,165
overacting,29,9
sherlyn,1,0
fenn,3,0
waitress,10,31
befriends,13,24
needless,38,33
exaggerated,36,29
toughs,2,0
bigger,65,73
hang,43,33
recycled,22,9
prime,39,67
domestic,14,31
audiences,102,133
applaud,16,15
outsiders,6,10
vested,4,0
interests,16,18
germans,42,10
incompetents,1,0
russians,18,6
supposedly,124,55
angle,36,69
superfluous,13,3
distraction,15,14
lieutenant,9,9
glimpsing,1,0
infatuation,5,5
idiots,44,13
exemplified,2,2
marsh,5,4
hundred,54,30
german,111,148
troops,24,24
advanced,17,28
pushing,21,46
hid,4,2
edge,82,167
stood,20,53
listening,48,48
boots,15,13
wet,22,21
officer,73,76
ordered,13,26
water,119,157
search,63,102
entered,17,19
barn,7,5
hiding,36,33
loft,5,4
bother,149,47
fire,162,145
roof,17,34
soldier,81,102
tossed,21,9
grenade,3,6
climbed,4,3
ladder,11,34
peer,5,4
reviewers,75,69
cried,18,41
band,114,171
perish,4,2
heart,178,468
tugging,3,1
managed,107,100
viewing,139,239
aid,25,33
mst,84,8
k,141,70
boy,355,388
riffing,5,2
excruciatingly,24,1
whose,202,271
competence,5,1
camera,517,363
monkey,63,17
highlights,31,35
higher,64,86
b,360,279
dismally,6,0
roller,16,26
skates,5,3
pushed,34,36
holes,130,72
needs,209,239
flesh,82,42
verges,3,0
plane,86,78
costs,81,21
independently,5,4
believer,18,9
majority,61,65
mindless,50,24
drivel,61,3
insulted,12,1
feat,11,22
close,326,362
developed,98,105
countless,41,28
anymore,96,80
critique,20,17
purpose,154,93
solely,22,18
save,385,137
viewers,155,238
couldn,543,227
finish,100,89
takes,472,629
cake,29,18
starred,41,57
william,92,186
hurt,107,101
contracted,1,3
toymaker,2,0
information,80,113
indeed,146,211
returning,27,23
modernist,4,1
penthouse,4,1
package,17,30
containing,14,13
toy,48,44
soldiers,122,101
smile,47,99
dismisses,2,5
business,120,199
wage,4,5
jeeps,4,0
shooting,132,115
guns,83,49
bazookas,1,0
flying,90,82
helicopters,11,3
becomes,333,355
tense,22,52
dodges,2,2
apartment,53,103
using,233,190
wits,5,11
getting,451,379
upper,37,44
times,711,910
wont,29,21
suffice,26,19
clever,109,143
rubbish,108,23
lost,357,419
fourth,28,58
adaptations,16,24
mixed,49,89
bag,54,35
exceptioni,1,0
recently,114,196
sci,138,172
fi,144,170
channel,131,68
shameless,15,6
ripoff,19,5
jurassic,16,7
substitutes,2,1
sabertooth,7,2
cats,24,28
dinosaurs,50,8
loose,71,62
devouring,2,1
closeups,11,10
prosthetic,6,1
cat,155,141
heads,103,53
helps,43,129
wait,187,175
robert,206,261
carradine,31,21
unknown,55,75
fiji,2,1
stvs,1,0
popular,111,179
bat,70,17
flat,208,89
rug,4,8
bland,119,31
sack,20,9
flour,2,0
rock,192,263
three,595,571
okay,243,111
nutshell,13,4
fitting,30,43
vessel,7,9
moss,9,16
bitten,25,7
cave,33,18
mcandrew,4,0
subsequently,7,11
werewolf,87,14
victims,118,66
viewpoint,11,17
sheriff,55,64
pataki,3,0
hick,9,7
hassles,2,0
leers,4,1
married,100,193
steals,29,77
handkerchiefs,1,0
haberdasheries,1,0
smokes,3,5
cigarette,10,8
holders,2,2
mouth,103,64
talks,76,45
buford,1,4
smokey,6,1
bandit,10,5
likeable,16,12
week,120,127
crapola,1,0
guano,2,0
aip,2,0
crying,52,39
loud,139,95
burying,5,3
credit,136,126
whatsoever,132,31
nicholas,24,19
cage,72,71
fairly,144,138
imbues,2,4
range,52,58
plussed,2,1
top,404,545
stays,30,58
progression,14,10
detail,63,124
allow,87,73
bill,121,167
goods,7,19
suspended,9,3
befit,1,0
aspect,101,141
highly,135,434
visual,107,169
medium,32,35
requires,31,30
whomever,8,5
scouted,2,1
location,92,86
commended,5,5
laughter,62,59
boos,1,0
literally,125,114
television,187,281
pour,13,8
whiskey,9,4
justifications,2,1
happened,298,243
distributors,10,8
secondary,16,19
drunks,8,3
receptionists,1,1
rewrites,4,0
extraneous,9,3
explanations,10,8
craptastic,2,0
rehash,18,2
highlight,45,46
reel,33,17
class,212,229
field,68,70
friggin,6,2
nowhere,158,65
ireland,29,18
canadian,48,74
difficult,146,192
student,113,88
jock,10,9
kick,64,71
ass,83,52
channels,24,14
randy,11,33
chris,91,127
klein,3,5
stunt,45,30
girlfriend,176,142
true,427,743
sullen,6,4
removed,28,20
peers,10,10
cuz,7,1
blonde,77,61
yay,9,3
population,32,31
cousins,14,6
gary,58,84
age,215,365
ominous,18,19
wears,45,37
knit,6,7
cap,17,12
cousin,25,32
roughed,2,0
porn,132,37
star,461,557
irish,47,54
befoul,1,0
lifetime,54,43
likely,118,91
picturesque,5,8
forests,4,6
swampy,2,0
areas,19,44
ducks,4,3
cut,323,206
producers,164,79
discount,12,3
volume,15,12
entrails,10,2
unbeknownst,3,4
inbred,8,5
freaks,23,16
access,26,20
brand,32,30
spanking,2,4
hunting,38,42
knives,14,9
outdoorsman,1,1
outlet,6,3
nearby,23,28
blind,80,65
deaf,35,10
clerk,7,22
working,172,225
register,11,13
inbreed,4,0
roughly,16,11
years,872,1406
leads,177,204
somewhat,191,276
lumpy,4,1
amazingly,46,43
spry,1,1
strong,147,382
genetics,3,3
craps,2,5
freak,43,21
shadows,22,38
dude,71,19
finally,340,410
danger,62,52
initial,50,58
assumption,9,3
outfit,26,17
richard,171,205
grieco,4,2
ashamed,69,12
note,176,193
shiny,18,5
posh,7,11
leather,18,8
gear,24,17
cuts,88,51
bonds,6,17
sucker,15,9
chains,4,9
slack,16,6
undo,2,2
tying,5,3
body,293,208
shack,9,11
maggot,1,1
ridden,34,15
hours,268,223
glasses,27,16
wore,38,23
jenna,14,5
jameson,11,4
stage,137,191
chats,1,1
vanishes,6,7
giant,107,66
unusual,35,122
pop,78,73
known,204,315
whatever,223,132
exists,47,34
land,81,96
ms,84,88
clothes,93,69
vanish,7,4
hopes,75,56
wind,62,95
breeder,1,0
breeding,7,2
purposes,17,17
eye,190,251
shadow,31,40
emotes,1,1
conviction,16,18
stuffed,17,9
chihuahua,1,0
tacked,15,9
drunk,86,58
fierce,7,12
disability,7,10
cultivated,2,4
encouraged,12,7
excessive,19,22
gasoline,5,0
drinking,47,41
random,115,41
found,620,655
network,42,52
followed,92,93
sad,249,257
mercy,16,15
jackie,20,97
chan,22,86
excluding,3,4
pre,44,97
familiar,103,151
final,294,345
sequence,193,229
changed,112,118
intense,45,128
sit,225,145
amuse,9,9
five,257,216
olds,26,4
tomato,5,4
face,423,426
endless,86,33
football,56,52
includes,60,87
turn,343,329
tap,18,41
refers,15,12
renting,70,21
collectors,3,4
mistake,145,65
truly,356,513
every,1017,961
editing,229,137
pacing,78,62
soundtrack,151,220
song,204,303
tune,32,31
nasty,99,69
extreme,89,83
happy,171,282
prevents,8,3
harvey,31,24
keitel,15,3
obsessives,1,0
dungeons,5,4
dragons,27,11
starring,105,156
costner,11,1
looked,311,167
uncomfortable,44,35
stand,184,224
comedian,41,38
transfer,21,26
strained,15,8
laughs,183,142
plague,39,27
weather,17,24
dry,77,39
brick,10,11
wall,95,93
efforts,51,71
exploding,11,11
zeppelins,1,0
crashing,19,16
sky,56,91
jude,11,9
adequate,30,25
metaphor,13,26
sincerely,15,15
recover,11,9
cult,133,113
remarkable,33,114
achieve,43,53
studio,92,135
pitch,31,44
combine,24,30
expressionism,1,3
globetrotting,2,0
adventure,77,171
animation,133,276
dominate,5,15
wow,117,82
skycaptain,1,0
bludgeons,1,0
sheer,66,46
excess,18,14
explosions,23,33
unconvincing,86,10
dogfight,2,1
painfully,84,27
shock,123,90
awe,8,36
floating,18,33
airship,1,2
moreover,16,23
groundbreaking,10,12
seamlessly,3,11
combining,8,8
generated,25,18
imagery,37,47
stylized,12,24
intriguing,69,89
setting,134,169
flop,42,12
fails,237,67
important,184,272
requirement,4,4
graphics,41,54
cars,96,56
physics,31,7
aircraft,15,4
dogfights,2,2
nit,4,6
picky,6,8
infant,3,7
notice,84,95
glide,2,1
maglev,1,0
mercedes,6,4
raising,28,23
voices,42,68
protest,18,15
integrating,1,3
starship,16,10
troopers,13,13
ironic,34,45
fiction,108,132
rocketeer,1,1
job,394,742
reintroducing,1,1
decade,49,75
portfolio,1,0
tim,73,87
burton,36,39
created,110,169
unique,83,243
city,194,361
gotham,2,3
repeated,54,47
sentence,27,18
plus,172,158
positively,17,13
ill,93,59
dissuade,2,0
sphinx,3,5
title,421,336
concerns,30,41
imagined,21,31
concealed,5,2
tomb,20,5
valley,24,22
kings,11,8
seti,2,0
pharaoh,8,0
dynasty,6,5
kingdom,11,31
period,184,222
yarn,7,14
deal,152,218
winter,18,56
palace,14,32
hotel,82,94
lobby,4,7
luxor,1,0
unit,29,22
egypt,15,10
frank,73,147
langella,6,0
sophisticated,16,54
egyptian,18,6
sideline,3,1
ruined,74,31
irritating,84,25
actresses,78,94
lesley,6,2
anne,59,88
spends,53,42
wondering,119,75
blue,129,116
eyes,277,313
refracting,1,0
fellas,5,5
lust,13,39
model,58,53
epitomises,1,1
revolting,13,0
vanity,13,16
witted,9,6
inanity,2,1
directed,298,322
franklin,13,11
shaffner,1,0
allows,44,91
actress,273,319
whimper,1,0
simper,1,1
flirting,11,9
hurricane,1,7
idiocy,8,5
reels,4,7
screaming,110,32
bedroom,28,29
matters,51,56
egyptologist,2,0
taxi,25,23
giza,1,0
catching,24,29
glimpse,28,54
pyramids,1,0
gushes,2,0
ecstasy,7,10
barf,7,1
banality,9,1
impression,106,92
natural,79,172
element,82,135
minute,260,147
elements,152,213
serious,247,246
market,55,64
antiquities,2,1
robin,59,62
cook,26,44
cyril,1,0
swern,1,0
recordist,1,0
ago,202,303
stanley,28,56
kubrick,20,32
step,85,128
katharina,1,3
described,51,64
draughtswoman,1,0
means,178,206
lots,202,211
cairo,6,1
museum,23,28
scenic,5,12
locations,48,67
tutankhamun,1,0
today,148,464
mosques,1,0
agenda,32,9
authentic,28,55
cacophony,2,2
traffic,20,10
noise,58,15
accurately,11,20
rendered,8,19
chuckle,20,13
nervously,2,4
loudspeaker,2,0
prayer,11,7
authenticity,10,21
teaching,21,20
tools,16,13
children,325,425
disapprove,2,0
whoopi,17,28
goldberg,23,32
armin,2,2
mueller,2,1
stahl,8,0
entirely,143,127
unworthy,5,2
dread,11,17
blockbuster,57,46
approved,6,6
edit,26,13
bore,62,30
epic,54,103
proportions,5,12
godfather,26,35
handy,10,14
cute,141,145
woefully,18,5
under,360,354
exploited,17,10
bevy,4,5
hotties,3,0
writhe,2,0
bvds,1,0
loss,65,75
peek,11,7
drew,32,96
fuller,3,27
junk,76,20
upsetting,8,9
haircut,10,2
huntley,5,3
ritter,15,61
cuter,4,4
silver,42,27
lining,5,3
occasionally,43,67
pause,15,11
button,32,19
yesterday,24,32
sao,1,1
paulo,2,9
intl,1,0
festival,77,115
rated,144,121
dying,94,79
producer,128,102
dialogs,44,35
shallow,91,38
shallower,1,0
anywhere,98,67
siemens,2,0
organics,2,0
advertising,21,14
despite,292,352
entertain,40,41
bombarded,2,0
internet,38,36
popping,17,20
lap,14,6
bath,27,27
cutting,64,46
shampoo,2,2
displayed,24,29
enormously,8,14
bearable,16,3
romances,6,19
steven,61,54
segal,20,2
moving,134,309
beet,1,0
single,249,182
judo,1,0
chop,14,4
shoulder,13,23
blades,3,4
opponent,3,8
ton,11,18
bricks,4,5
excuse,162,33
visuals,53,79
picked,97,76
motions,27,8
obligation,8,5
enthusiasm,16,24
hate,227,157
peoples,16,38
stock,81,40
footage,179,143
aircrafts,1,0
flight,56,50
pathetic,195,33
condition,22,36
shaky,22,15
deteriorated,5,2
zappruder,1,0
showing,172,221
f,182,81
kennedy,21,34
assassinated,2,0
steadier,1,0
cleaner,7,13
glimmer,4,8
exit,14,7
wounds,14,11
million,123,86
dollar,64,29
concur,2,3
conscientious,1,2
theatre,72,59
owner,34,76
recap,11,4
mia,9,2
helin,1,1
capital,14,24
stockholm,3,1
rural,10,51
ttvik,2,0
celebrate,13,15
fathers,13,32
birthday,37,39
youngest,17,18
sisters,47,77
eivor,2,0
ernst,2,15
gunilla,2,0
petr,1,0
divorced,14,16
moved,50,100
focused,35,57
jealousy,9,25
animosity,1,3
conflicts,19,25
arise,6,10
confront,15,14
personal,97,203
handle,46,39
alcohol,21,25
consumed,6,13
secrets,15,38
unveiled,3,0
disappointing,152,47
follow,162,240
tracks,29,19
older,148,193
swedish,19,34
dramas,17,45
draws,13,53
basic,144,107
humor,282,361
sorrow,3,13
anxiety,9,14
move,183,177
focus,112,151
forgetting,9,11
soon,270,358
forgotten,79,104
influences,6,13
ways,155,241
spend,153,109
viewed,40,66
lipstick,8,2
decades,34,51
backed,12,20
descent,21,16
negative,82,96
tastes,11,27
varied,7,16
niche,9,7
rape,106,66
revenge,146,123
evolved,6,6
spit,20,5
grave,51,26
tawdry,6,4
sensationalism,4,2
tasteful,6,13
handling,17,18
issue,59,71
accused,19,29
offers,58,98
revelatory,3,2
detracts,10,5
significant,44,41
examined,10,13
closely,28,44
degeneration,1,0
rosario,10,13
anxious,8,14
layers,6,29
stripped,12,6
psyche,5,21
slowly,72,134
twisted,40,73
deniro,13,22
driver,53,42
provide,67,73
transition,21,25
biggest,151,106
became,146,170
filmmaker,80,72
intentions,55,29
segment,50,80
hopping,5,9
drug,112,92
obsession,35,34
stallion,3,7
adrian,9,13
nightmare,85,76
natch,3,1
q,36,28
excursion,8,6
believably,4,7
audio,33,17
destroys,16,11
momentum,11,8
investment,19,9
exceptionally,21,22
finale,55,74
waned,1,0
pumped,3,3
retribution,6,5
realize,171,165
drawn,88,124
valid,17,10
check,206,188
deleted,25,16
classroom,9,8
excellent,182,860
outtake,4,0
crackles,1,2
energy,72,69
provocation,2,2
verbal,13,17
crack,33,21
materializing,1,0
delightfully,2,23
vivisects,1,0
francie,1,0
swift,7,9
prissy,7,3
condescending,14,1
dorm,5,1
counselor,4,4
expository,3,1
added,102,115
third,165,195
psychological,39,88
study,46,70
impact,59,130
senseless,43,15
stands,76,126
graphic,56,55
rendering,15,11
doubts,9,24
reading,208,168
teens,46,49
lake,81,46
premise,245,117
miserably,53,7
slasher,186,84
friday,63,36
stop,311,254
yourself,276,244
papercuts,1,0
eat,87,60
dirt,25,15
claustrophobic,10,21
angles,44,62
lower,70,38
missing,152,133
actions,66,97
confusion,43,38
contribute,18,15
artful,6,11
artfully,4,2
unconventional,6,16
deep,128,215
stay,236,156
le,20,33
interested,139,181
shanghai,7,29
horrible,560,73
distortion,5,7
exaggerations,2,5
lunatics,3,2
lie,40,41
portrays,38,74
senator,10,12
mccarthy,26,9
scam,14,3
amazes,10,2
associated,31,33
industry,103,92
marxist,7,2
leninists,1,0
vindicated,2,2
dare,32,28
communism,9,8
communist,22,22
nut,33,9
ronald,10,16
reagan,15,11
cohorts,5,3
truth,174,196
regarding,46,28
sen,7,6
ann,42,111
coulter,1,0
treason,6,2
http,13,25
www,10,29
thenewamerican,1,0
com,32,71
tna,1,0
vo,4,0
htmi,1,0
aag,9,1
bollywood,42,34
imagination,76,97
artistic,71,97
suicide,68,87
behalf,7,15
successful,105,167
outside,140,166
risk,44,36
sharing,15,27
billing,14,9
humiliation,7,5
bound,33,43
lets,82,86
cinematographer,24,29
rehearsing,4,9
award,79,140
holding,54,41
bulb,9,2
pole,27,23
hoping,134,61
flame,12,7
burning,32,36
add,200,175
newcomers,4,5
forgiven,17,18
ensemble,16,55
promote,29,17
dimension,11,27
india,33,60
sholay,16,4
forget,175,183
willing,78,91
participants,13,8
public,135,139
expectation,13,18
begs,19,10
amitabh,18,12
attempted,29,37
bachchan,18,5
farcical,10,7
abomination,16,2
demonstration,10,7
hence,40,36
satisfied,16,32
vulgar,28,13
succeeds,32,52
polluting,4,0
disapointed,3,0
bnl,4,0
songs,176,258
childish,31,25
obsessively,4,2
nostalgic,16,33
grade,149,69
shoe,11,14
clips,50,36
improvisational,3,1
goofy,53,36
nature,138,245
compelling,59,134
standup,10,4
bass,9,5
solo,17,40
jim,84,143
creegan,1,0
digging,14,17
afgahnistan,1,0
concert,23,53
koffee,1,0
anan,1,0
charge,41,41
paige,2,5
large,120,132
went,396,315
europe,43,72
godawfull,1,0
effeil,1,0
month,31,37
chewed,7,1
arm,52,21
fond,21,26
memory,58,89
campfires,1,0
phenomenon,10,22
humour,95,126
slant,4,4
kraft,3,1
staple,10,6
gordon,34,64
quintessentially,1,2
slipped,6,10
obscurity,12,7
gratefull,1,0
sudden,54,61
states,75,102
thinks,122,83
geez,10,1
folded,4,1
listen,78,95
routine,47,45
massive,52,46
boston,10,25
glazed,3,0
interviews,32,36
families,34,94
houses,27,20
spinal,11,23
deliver,96,69
deadpan,8,9
satire,54,71
giggles,9,6
ruins,27,16
moses,13,0
znaimer,1,0
media,73,75
mogule,1,0
terry,27,36
mulligan,1,5
pretentious,95,23
verge,11,10
territory,24,40
unintentionally,44,11
